Invoice No,Customer,Invoice Date,Due Date,Terms,Item (Product/Service),Item Description,Item Quantity,Item Rate,Item Amount,Memo,Note
CDEF-FTL-0506-04,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-FTL-0506-04,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),0,250,0,,
CDEF-FTL-0506-04,,,,,Marketing and Strategic Communications,Marketing Strategy Development,0,250,0,,
CDEF-FTL-0506-04,,,,,Marketing and Strategic Communications,Capability Statement Development,0,250,0,,
CDEF-FTL-0506-04,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
CDEF-GCL-0506-05,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Genuine Construction, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Genuine Construction, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-GCL-0506-05,,,,,Business Operations and Project Management,"Project Planning, and Scheduling",0,250,0,,
CDEF-GCL-0506-05,,,,,Business Operations and Project Management,Understanding Bid and Compliance Requirements,0,250,0,,
CDEF-GCL-0506-05,,,,,Standard Operating Procedures,RFP/RFQ Bid Process Refinement,2,275,550,,
CDEF-GCL-0506-05,,,,,"Administrative, Finance and Compliance","Basic Accounting, Budgeting and  Cost Control",0,250,0,,
CDEF-GCL-0506-05,,,,,"Administrative, Finance and Compliance",Understanding Bonding Requirements and Bonding Strategy Playbook,0,250,0,,
CDEF-GCL-0506-05,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-GCL-0506-05,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),1,250,250,,
CDEF-GCL-0506-05,,,,,Marketing and Strategic Communications,Marketing Strategy Development,1,250,250,,
CDEF-GCL-0506-05,,,,,Marketing and Strategic Communications,Capability Statement Development/Refinement,0,250,0,,
CDEF-GCL-0506-05,,,,,Process Improvement/Computer Training,Navigating Government Procurement Systems,1,275,275,,
CDEF-GCL-0506-05,,,,,Process Improvement/Computer Training,IT Infrastructure Assessment and Compliance Scorecard,0,275,0,,
CDEF-GCL-0506-05,,,,,Process Improvement/Computer Training,Productivity Software Selection Guidance,0,275,0,,
CDEF-GCL-0506-05,,,,,Administrative Charges,General Admin and Misc,2,250,500,,
CDEF-JMR-0506-06,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: JM Renderworks, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: JM Renderworks, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-JMR-0506-06,,,,,Business Operations and Project Management,"Project Planning, Operations and Management",0,250,0,,
CDEF-JMR-0506-06,,,,,Business Operations and Project Management,Interpreting/Understanding Labor Requirements and Agreements (PLAs),0,250,0,,
CDEF-JMR-0506-06,,,,,Standard Operating Procedures,RFP/RFQ Process Audit and Refinement,0,250,0,,
CDEF-JMR-0506-06,,,,,"Administrative, Finance and Compliance",Bonding Strategy Playbook,0,250,0,,
CDEF-JMR-0506-06,,,,,"Administrative, Finance and Compliance",Accessing Capital for Business,0,250,0,,
CDEF-JMR-0506-06,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-JMR-0506-06,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),0,250,0,,
CDEF-JMR-0506-06,,,,,Marketing and Strategic Communications,Marketing Strategy Development,0,250,0,,
CDEF-JMR-0506-06,,,,,Marketing and Strategic Communications,Capability Statement Development,0,250,0,,
CDEF-JMR-0506-06,,,,,Process Improvement/Computer Training,Navigating Government Procurement Systems,0,275,0,,
CDEF-JMR-0506-06,,,,,Process Improvement/Computer Training,"File Management Systems, Data Governance & Cybersecurity",0,275,0,,
CDEF-JMR-0506-06,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
CDEF-NEA-0506-07,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Nemariam Engineers & Associates
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Nemariam Engineers & Associates
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-NEA-0506-07,,,,,Business Operations and Project Management,"Project Planning, Operations and Management",0,250,0,,
CDEF-NEA-0506-07,,,,,Standard Operating Procedures,RFP/RFQ Process Audit and Refinement,0,275,0,,
CDEF-NEA-0506-07,,,,,"Administrative, Finance and Compliance",Accounting System Audit and Assessment,0,250,0,,
CDEF-NEA-0506-07,,,,,"Administrative, Finance and Compliance",Standardizing to Generally Accepted Accounting Principles (GAAP) Level,0,250,0,,
CDEF-NEA-0506-07,,,,,"Administrative, Finance and Compliance",Federal Acquisition Regulation (FAR Pt 30) Compliance,0,250,0,,
CDEF-NEA-0506-07,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-NEA-0506-07,,,,,Marketing and Strategic Communications,Professional Website Redevelopment (Excl. Hosting),0,250,0,,
CDEF-NEA-0506-07,,,,,Marketing and Strategic Communications,Capability Statement Development,0,250,0,,
CDEF-NEA-0506-07,,,,,Process Improvement/Computer Training,Navigating Government Procurement Systems,0,275,0,,
CDEF-NEA-0506-07,,,,,Process Improvement/Computer Training,"File Management Systems, Data Governance & Cybersecurity",0,275,0,,
CDEF-NEA-0506-07,,,,,Process Improvement/Computer Training,Productivity Software Selection Guidance,0,275,0,,
CDEF-NEA-0506-07,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
CDEF-PEL-0506-08,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Pacific ECS, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Pacific ECS, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-PEL-0506-08,,,,,Business Operations and Project Management,"Project Operations, and Scheduling",0,250,0,,
CDEF-PEL-0506-08,,,,,Standard Operating Procedures,Technical RFP/RFQ Bid Writing Process Assessment and Refinement,0,275,0,,
CDEF-PEL-0506-08,,,,,"Administrative, Finance and Compliance",Time Reporting and  Cost Control,0,250,0,,
CDEF-PEL-0506-08,,,,,"Administrative, Finance and Compliance",Accounting Software Selection/Implementation Support,0,250,0,,
CDEF-PEL-0506-08,,,,,Marketing and Strategic Communications,Capability Statement Development/Refinement,0,250,0,,
CDEF-PEL-0506-08,,,,,Process Improvement/Computer Training,Project/Time Management Software Selection Guidance,0,275,0,,
CDEF-PEL-0506-08,,,,,Process Improvement/Computer Training,Software Implementation Support,0,275,0,,
CDEF-PEL-0506-08,,,,,Process Improvement/Computer Training,Finance/Project Time Software Integration Support,0,275,0,,
CDEF-PEL-0506-08,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
CDEF-PCL-0506-09,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,0,250,0,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Porter Consults, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Porter Consults, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-PCL-0506-09,,,,,Business Operations and Project Management,Understanding Partnership and Sole-Source Bid Requirements,1,250,250,,
CDEF-PCL-0506-09,,,,,Business Operations and Project Management,Resource Planning and Cost Control,0,250,0,,
CDEF-PCL-0506-09,,,,,Standard Operating Procedures,"Review, Realignment and Documentation of Bid Processes",1,250,250,,
CDEF-PCL-0506-09,,,,,Standard Operating Procedures,RFP/RFQ Process Development,0,275,0,,
CDEF-PCL-0506-09,,,,,"Administrative, Finance and Compliance",Bonding Strategy Playbook,1,250,250,,
CDEF-PCL-0506-09,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,1,250,250,,
CDEF-PCL-0506-09,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),1,250,250,,
CDEF-PCL-0506-09,,,,,Marketing and Strategic Communications,Marketing Strategy Development,1,250,250,,
CDEF-PCL-0506-09,,,,,Marketing and Strategic Communications,Capability Statement Redevelopment,2,250,500,,
CDEF-PCL-0506-09,,,,,Marketing and Strategic Communications,Website Marketability Redevelopment Audit,3,250,750,,
CDEF-PCL-0506-09,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
CDEF-RCL-0506-10,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,0,250,0,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Redline NW Contracting, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Redline NW Contracting, LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-RCL-0506-10,,,,,Business Operations and Project Management,"Project Management, Operations and Efficiencies",0,250,0,,
CDEF-RCL-0506-10,,,,,Business Operations and Project Management,Resource Planning and Cost Control,1,250,250,,
CDEF-RCL-0506-10,,,,,Standard Operating Procedures,"Review, Realignment and Documentation of Bid Processes",0,250,0,,
CDEF-RCL-0506-10,,,,,Standard Operating Procedures,RFP/RFQ Process Development,0,275,0,,
CDEF-RCL-0506-10,,,,,"Administrative, Finance and Compliance","Operational bookkeeping, Basic Accounting and Budgeting",2,250,500,,
CDEF-RCL-0506-10,,,,,"Administrative, Finance and Compliance",Accessing Capital for Business,1,250,250,,
CDEF-RCL-0506-10,,,,,"Administrative, Finance and Compliance",Bonding Strategy Playbook,0,250,0,,
CDEF-RCL-0506-10,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,2,250,500,,
CDEF-RCL-0506-10,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),1,250,250,,
CDEF-RCL-0506-10,,,,,Marketing and Strategic Communications,Social Media Strategy (Incl. Digital Marketing),1,250,250,,
CDEF-RCL-0506-10,,,,,Marketing and Strategic Communications,Capability Statement Development,1,250,250,,
CDEF-RCL-0506-10,,,,,Marketing and Strategic Communications,Website Marketability Assessment/Audit,2,250,500,,
CDEF-RCL-0506-10,,,,,Process Improvement/Computer Training,Navigating Government Procurement Systems,0,275,0,,
CDEF-RCL-0506-10,,,,,Process Improvement/Computer Training,"File Management Systems, Data Governance & Cybersecurity",1,275,275,,
CDEF-RCL-0506-10,,,,,Administrative Charges,General Admin and Misc,2,250,500,,
CDEF-RCC-0506-11,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Regent Construction Co., LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: Regent Construction Co., LLC
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-RCC-0506-11,,,,,Business Operations and Project Management,Operations Management,0,250,0,,
CDEF-RCC-0506-11,,,,,Standard Operating Procedures,Operational Process Development and Documentation,0,275,0,,
CDEF-RCC-0506-11,,,,,Succession Planning,Business Continuity and Succession Strategy,0,275,0,,
CDEF-RCC-0506-11,,,,,"Administrative, Finance and Compliance","Operational Bookkeeping, Basic Accounting and Budgeting",3,250,750,,
CDEF-RCC-0506-11,,,,,"Administrative, Finance and Compliance",Accessing Capital for Business,1,250,250,,
CDEF-RCC-0506-11,,,,,"Administrative, Finance and Compliance",Bonding and Increasing Bonding Capacity,2,250,500,,
CDEF-RCC-0506-11,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-RCC-0506-11,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),1,250,250,,
CDEF-RCC-0506-11,,,,,Marketing and Strategic Communications,Marketing Strategy Development,0,250,0,,
CDEF-RCC-0506-11,,,,,Marketing and Strategic Communications,Social Media Strategy (Incl. Digital Marketing),0,250,0,,
CDEF-RCC-0506-11,,,,,Administrative Charges,General Admin and Misc,2,250,500,,
CDEF-RJR-0506-12,Construction Diversity & Equity Fund - Multnomah County,5/6/2026,7/5/2026,Net 60,Business Operations and Project Management,Kickoff & Initial Assessment,3,250,750,"This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: RJ Ramos Enterprises
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business","This invoice covers;
CONTRACT #: DCM-SVCSGEN-17106-2025
CLIENT NAME: RJ Ramos Enterprises
DATE OF SERVICE: April 1 - 30, 2026

Thank you for your business"
CDEF-RJR-0506-12,,,,,Business Operations and Project Management,"Project Planning, Administration, Operations and Management",0,250,0,,
CDEF-RJR-0506-12,,,,,"Administrative, Finance and Compliance","Operational bookkeeping, Basic Accounting, Budgeting and Cost Control",0,250,0,,
CDEF-RJR-0506-12,,,,,"Administrative, Finance and Compliance",Accessing Capital for Business,0,250,0,,
CDEF-RJR-0506-12,,,,,"Administrative, Finance and Compliance",Bonding Strategy Playbook,0,250,0,,
CDEF-RJR-0506-12,,,,,Leadership and Executive Coaching,Prime/Sub Engagement & Networking,0,250,0,,
CDEF-RJR-0506-12,,,,,Leadership and Executive Coaching,Building Industry Partnerships and Chamber Engagement Strategy (4 Sessions/Meetings),0,250,0,,
CDEF-RJR-0506-12,,,,,Leadership and Executive Coaching,Partnering/Teaming for Success,0,250,0,,
CDEF-RJR-0506-12,,,,,Marketing and Strategic Communications,Marketing Strategy Development,0,250,0,,
CDEF-RJR-0506-12,,,,,Marketing and Strategic Communications,Social Media Strategy (Incl. Digital Marketing),0,250,0,,
CDEF-RJR-0506-12,,,,,Marketing and Strategic Communications,Website Marketability Assessment/Audit,0,250,0,,
CDEF-RJR-0506-12,,,,,Process Improvement/Computer Training,General Digital and Financial Tools Training for Productivity,0,275,0,,
CDEF-RJR-0506-12,,,,,Process Improvement/Computer Training,"File Management Systems, Data Governance & Cybersecurity",0,275,0,,
CDEF-RJR-0506-12,,,,,Administrative Charges,General Admin and Misc,0,250,0,,
